doc_id,text,year,region,channel,synthetic
"synthetic-2025-2-0","Households discuss rooftop solar panels near the central station. Participants compare several local options. Commuters wait for crowded trains.","2025","south","survey","true"
"synthetic-2023-1-1","Affordable housing remains difficult to find near the central station. Access matters for daily routines.","2023","north","forum","true"
"synthetic-2024-1-11","Families need stable leases and housing support around the university district. The current arrangement requires careful planning.","2024","south","forum","true"
"synthetic-2025-2-1","Energy bills increased during cold weather near the central station. Participants compare several local options.","2025","south","forum","true"
"synthetic-2023-1-2","Residents request repairs in rental buildings near the central station. Access matters for daily routines.","2023","south","survey","true"
"synthetic-2024-1-12","Tenants struggle with rising apartment rent in the northern suburb. The current arrangement requires careful planning.","2024","south","survey","true"
"synthetic-2025-2-2","Residents request better building insulation near the central station. Participants compare several local options.","2025","north","survey","true"
"synthetic-2023-1-3","Families need stable leases and housing support near the central station. Access matters for daily routines.","2023","south","forum","true"
"synthetic-2024-1-13","Affordable housing remains difficult to find in the northern suburb. The current arrangement requires careful planning.","2024","north","forum","true"
"synthetic-2025-2-3","Electricity savings depend on efficient heating near the central station. Participants compare several local options.","2025","south","forum","true"
"synthetic-2023-1-4","Tenants struggle with rising apartment rent in the western neighborhood. Access matters for daily routines.","2023","north","survey","true"
"synthetic-2024-1-14","Residents request repairs in rental buildings in the northern suburb. The current arrangement requires careful planning. Electricity savings depend on efficient heating.","2024","south","survey","true"
"synthetic-2025-2-4","Households discuss rooftop solar panels in the western neighborhood. Participants compare several local options.","2025","south","survey","true"
"synthetic-2023-1-5","Affordable housing remains difficult to find in the western neighborhood. Access matters for daily routines.","2023","south","forum","true"
"synthetic-2024-1-15","Families need stable leases and housing support in the northern suburb. The current arrangement requires careful planning.","2024","south","forum","true"
"synthetic-2025-2-5","Energy bills increased during cold weather in the western neighborhood. Participants compare several local options.","2025","north","forum","true"
"synthetic-2023-1-6","Residents request repairs in rental buildings in the western neighborhood. Access matters for daily routines.","2023","south","survey","true"
"synthetic-2024-1-16","Tenants struggle with rising apartment rent beside the public library. The current arrangement requires careful planning.","2024","north","survey","true"
"synthetic-2025-2-6","Residents request better building insulation in the western neighborhood. Participants compare several local options.","2025","south","survey","true"
"synthetic-2023-1-7","Families need stable leases and housing support in the western neighborhood. Access matters for daily routines. Households discuss rooftop solar panels.","2023","north","forum","true"
"synthetic-2024-1-17","Affordable housing remains difficult to find beside the public library. The current arrangement requires careful planning.","2024","south","forum","true"
"synthetic-2025-2-7","Electricity savings depend on efficient heating in the western neighborhood. Participants compare several local options. The bus route needs more frequent service.","2025","south","forum","true"
"synthetic-2023-1-8","Tenants struggle with rising apartment rent around the university district. Access matters for daily routines.","2023","south","survey","true"
"synthetic-2024-1-18","Residents request repairs in rental buildings beside the public library. The current arrangement requires careful planning.","2024","south","survey","true"
"synthetic-2025-2-8","Households discuss rooftop solar panels around the university district. Participants compare several local options.","2025","north","survey","true"
"synthetic-2023-1-9","Affordable housing remains difficult to find around the university district. Access matters for daily routines.","2023","south","forum","true"
"synthetic-2024-1-19","Families need stable leases and housing support beside the public library. The current arrangement requires careful planning.","2024","north","forum","true"
"synthetic-2025-2-9","Energy bills increased during cold weather around the university district. Participants compare several local options.","2025","south","forum","true"
"synthetic-2023-1-10","Residents request repairs in rental buildings around the university district. Access matters for daily routines.","2023","north","survey","true"
"synthetic-2024-2-0","Households discuss rooftop solar panels near the central station. The current arrangement requires careful planning. Commuters wait for crowded trains.","2024","south","survey","true"
"synthetic-2025-2-10","Residents request better building insulation around the university district. Participants compare several local options.","2025","south","survey","true"
"synthetic-2023-1-11","Families need stable leases and housing support around the university district. Access matters for daily routines.","2023","south","forum","true"
"synthetic-2024-2-1","Energy bills increased during cold weather near the central station. The current arrangement requires careful planning.","2024","south","forum","true"
"synthetic-2025-2-11","Electricity savings depend on efficient heating around the university district. Participants compare several local options.","2025","north","forum","true"
"synthetic-2023-1-12","Tenants struggle with rising apartment rent in the northern suburb. Access matters for daily routines.","2023","south","survey","true"
"synthetic-2024-2-2","Residents request better building insulation near the central station. The current arrangement requires careful planning.","2024","north","survey","true"
"synthetic-2025-2-12","Households discuss rooftop solar panels in the northern suburb. Participants compare several local options.","2025","south","survey","true"
"synthetic-2023-1-13","Affordable housing remains difficult to find in the northern suburb. Access matters for daily routines.","2023","north","forum","true"
"synthetic-2024-2-3","Electricity savings depend on efficient heating near the central station. The current arrangement requires careful planning.","2024","south","forum","true"
"synthetic-2025-2-13","Energy bills increased during cold weather in the northern suburb. Participants compare several local options.","2025","south","forum","true"
"synthetic-2023-1-14","Residents request repairs in rental buildings in the northern suburb. Access matters for daily routines. Electricity savings depend on efficient heating.","2023","south","survey","true"
"synthetic-2024-2-4","Households discuss rooftop solar panels in the western neighborhood. The current arrangement requires careful planning.","2024","south","survey","true"
"synthetic-2025-2-14","Residents request better building insulation in the northern suburb. Participants compare several local options. A new bicycle lane would improve the commute.","2025","north","survey","true"
"synthetic-2023-1-15","Families need stable leases and housing support in the northern suburb. Access matters for daily routines.","2023","south","forum","true"
"synthetic-2024-2-5","Energy bills increased during cold weather in the western neighborhood. The current arrangement requires careful planning.","2024","north","forum","true"
"synthetic-2025-2-15","Electricity savings depend on efficient heating in the northern suburb. Participants compare several local options.","2025","south","forum","true"
"synthetic-2023-1-16","Tenants struggle with rising apartment rent beside the public library. Access matters for daily routines.","2023","north","survey","true"
"synthetic-2024-2-6","Residents request better building insulation in the western neighborhood. The current arrangement requires careful planning.","2024","south","survey","true"
"synthetic-2025-2-16","Households discuss rooftop solar panels beside the public library. Participants compare several local options.","2025","south","survey","true"
"synthetic-2023-1-17","Affordable housing remains difficult to find beside the public library. Access matters for daily routines.","2023","south","forum","true"
"synthetic-2024-2-7","Electricity savings depend on efficient heating in the western neighborhood. The current arrangement requires careful planning. The bus route needs more frequent service.","2024","south","forum","true"
"synthetic-2025-2-17","Energy bills increased during cold weather beside the public library. Participants compare several local options.","2025","north","forum","true"
"synthetic-2023-1-18","Residents request repairs in rental buildings beside the public library. Access matters for daily routines.","2023","south","survey","true"
"synthetic-2024-2-8","Households discuss rooftop solar panels around the university district. The current arrangement requires careful planning.","2024","north","survey","true"
"synthetic-2025-2-18","Residents request better building insulation beside the public library. Participants compare several local options.","2025","south","survey","true"
"synthetic-2023-1-19","Families need stable leases and housing support beside the public library. Access matters for daily routines.","2023","north","forum","true"
"synthetic-2024-2-9","Energy bills increased during cold weather around the university district. The current arrangement requires careful planning.","2024","south","forum","true"
"synthetic-2025-2-19","Electricity savings depend on efficient heating beside the public library. Participants compare several local options.","2025","south","forum","true"
"synthetic-2023-2-0","Households discuss rooftop solar panels near the central station. Access matters for daily routines. Commuters wait for crowded trains.","2023","south","survey","true"
"synthetic-2024-2-10","Residents request better building insulation around the university district. The current arrangement requires careful planning.","2024","south","survey","true"
"synthetic-2025-2-20","Households discuss rooftop solar panels near the central station. The discussion includes costs and practical tradeoffs.","2025","north","survey","true"
"synthetic-2023-2-1","Energy bills increased during cold weather near the central station. Access matters for daily routines.","2023","south","forum","true"
"synthetic-2024-2-11","Electricity savings depend on efficient heating around the university district. The current arrangement requires careful planning.","2024","north","forum","true"
"synthetic-2025-2-21","Energy bills increased during cold weather near the central station. The discussion includes costs and practical tradeoffs. Residents request reliable public transport.","2025","south","forum","true"
"synthetic-2023-2-2","Residents request better building insulation near the central station. Access matters for daily routines.","2023","north","survey","true"
"synthetic-2024-2-12","Households discuss rooftop solar panels in the northern suburb. The current arrangement requires careful planning.","2024","south","survey","true"
"synthetic-2025-2-22","Residents request better building insulation near the central station. The discussion includes costs and practical tradeoffs.","2025","south","survey","true"
"synthetic-2023-2-3","Electricity savings depend on efficient heating near the central station. Access matters for daily routines.","2023","south","forum","true"
"synthetic-2024-2-13","Energy bills increased during cold weather in the northern suburb. The current arrangement requires careful planning.","2024","south","forum","true"
"synthetic-2025-2-23","Electricity savings depend on efficient heating near the central station. The discussion includes costs and practical tradeoffs.","2025","north","forum","true"
"synthetic-2023-2-4","Households discuss rooftop solar panels in the western neighborhood. Access matters for daily routines.","2023","south","survey","true"
"synthetic-2024-2-14","Residents request better building insulation in the northern suburb. The current arrangement requires careful planning. A new bicycle lane would improve the commute.","2024","north","survey","true"
"synthetic-2025-2-24","Households discuss rooftop solar panels in the western neighborhood. The discussion includes costs and practical tradeoffs.","2025","south","survey","true"
"synthetic-2023-2-5","Energy bills increased during cold weather in the western neighborhood. Access matters for daily routines.","2023","north","forum","true"
"synthetic-2024-2-15","Electricity savings depend on efficient heating in the northern suburb. The current arrangement requires careful planning.","2024","south","forum","true"
"synthetic-2025-2-25","Energy bills increased during cold weather in the western neighborhood. The discussion includes costs and practical tradeoffs.","2025","south","forum","true"
"synthetic-2023-2-6","Residents request better building insulation in the western neighborhood. Access matters for daily routines.","2023","south","survey","true"
"synthetic-2024-2-16","Households discuss rooftop solar panels beside the public library. The current arrangement requires careful planning.","2024","south","survey","true"
"synthetic-2025-2-26","Residents request better building insulation in the western neighborhood. The discussion includes costs and practical tradeoffs.","2025","north","survey","true"
"synthetic-2023-2-7","Electricity savings depend on efficient heating in the western neighborhood. Access matters for daily routines. The bus route needs more frequent service.","2023","south","forum","true"
"synthetic-2024-2-17","Energy bills increased during cold weather beside the public library. The current arrangement requires careful planning.","2024","north","forum","true"
"synthetic-2025-2-27","Electricity savings depend on efficient heating in the western neighborhood. The discussion includes costs and practical tradeoffs.","2025","south","forum","true"
"synthetic-2023-2-8","Households discuss rooftop solar panels around the university district. Access matters for daily routines.","2023","north","survey","true"
"synthetic-2024-2-18","Residents request better building insulation beside the public library. The current arrangement requires careful planning.","2024","south","survey","true"
"synthetic-2025-2-28","Households discuss rooftop solar panels around the university district. The discussion includes costs and practical tradeoffs. Commuters wait for crowded trains.","2025","south","survey","true"
"synthetic-2023-2-9","Energy bills increased during cold weather around the university district. Access matters for daily routines.","2023","south","forum","true"
"synthetic-2024-2-19","Electricity savings depend on efficient heating beside the public library. The current arrangement requires careful planning.","2024","south","forum","true"
"synthetic-2025-2-29","Energy bills increased during cold weather around the university district. The discussion includes costs and practical tradeoffs.","2025","north","forum","true"
